"","DataZone","A Road","B Road","Local Access Road","Local Road","Minor Road","Motorway","Restricted Local Access Road","Secondary Access Road"
"1","S01006506",620.34,0,1983.81,2413.74,4108.77,0,4737.05,42.72
"2","S01006507",0,371.28,312.27,2880.03,0,0,53.47,0
"3","S01006508",432.39,541.05,0,1901.84,245.18,0,394.32,0
"4","S01006509",0,0,0,1944,0,0,0,85.14
"5","S01006510",176.64,0,0,2238.98,34.81,0,50.55,38.15
"6","S01006511",636.06,0,575.59,2601.16,0.94,0,1002.07,0
"7","S01006512",0,2979.66,290.69,3018.29,8054.62,0,14011.56,0
"8","S01006513",390.84,0,0,2833.84,22.86,0,385.98,79.06
"9","S01006514",1253.15,1026.24,494.46,3102.98,1509.71,0,3880.02,0
"10","S01006515",0,0,167.01,3505.22,4416.16,0,8119.71,0
"11","S01006516",1349.72,0,0,1641.65,0,0,6502.62,0
"12","S01006517",0,0,1573.72,6002.04,10259.54,0,10468.94,0
"13","S01006518",523.89,0,0,2864.38,577.83,0,2146.95,147.94
"14","S01006519",149.14,0,0,3497.35,68.18,0,295.27,206.18
"15","S01006520",0,0,0,2578.46,141.66,0,353.56,0
"16","S01006521",1300.69,0,1054.1,1694.12,2112.46,0,4818.65,0
"17","S01006522",0,0,0,1819.19,1201.52,0,997.2,52.75
"18","S01006523",542.32,0,0,2827.33,769.69,0,310.8,80.65
"19","S01006524",930.16,0,0,3809.07,554.4,0,3200.16,322.59
"20","S01006525",482.85,0,0,3778.63,0,0,502.98,83.41
"21","S01006526",0,0,0,1382.67,437.01,0,0,0
"22","S01006527",0,0,0,2032.47,553.2,0,104.47,62.88
"23","S01006528",0,0,0,3801.14,1030.34,0,1184.27,0
"24","S01006529",754.23,0,0,2688.48,781.33,0,507.91,0
"25","S01006530",0,0,0,2321.71,0,0,109.49,0
"26","S01006531",0,0,0,2313.65,514.18,0,3.86,0
"27","S01006532",315.98,0,0,1717.1,756.7,0,93.69,0
"28","S01006533",833.87,0,0,1637.26,1.72,0,0,1119.01
"29","S01006534",267.23,0,0,1964.7,318.71,0,307.06,818.28
"30","S01006535",84.33,0,0,1690.33,134.98,0,160.9,77.89
